"Organization","Type","FA","Comment"
"AABB","NGO",,
"American Society for Microbiology","NGO",,
"CARE","NGO",,
"CLSI","NGO",,
"Compassion International Rwanda","NGO",,
"PROJET UBUZIMA","Govt Agency",,
"WESTERN ONTARIO UNIVERSITY","NGO",,
"USG","Donor",,
"Donor","Donor",,
"Chen Yet-Sen Family Foundation","Donor",,
"GREAT LAKES HIV/AIDS INITIATIVE (GLIA)","Donor",,
"MINECOFIN","Govt Agency",,
"Brothers of Charity","Donor",,
"European Commission","Donor",,
"Reproductive Health Trust Fund","Donor",,
"Sturback Coffee Company","Donor",,
"EDCTP","Donor",,
"IMT","Donor",,
"MIDA","Donor",,
"Rockefeller Foundation","Donor",,
"UNFEM","Donor",,
"Scottish Government","Donor",,
"Anne Duffey Community Foundation of New Jersey","Donor",,
"Durham Technical Community College (DTCC)","Donor",,
"International Resources Group (IRG)","NGO",,
"USG - PEPFAR","Donor",,
"PACKARD FOUNDATION","Donor",,
"BRITISH COUNCIL","Donor",,
"NEPAD","Donor",,
"WESTERN ONTARIO UNIVERSITY","Donor",,
"Gouvernement Basque","Donor",,
"International Partnership for Microbicide","Donor",,
"AMERICAN RED CROSS","Donor",,
"CROIX ROUGE DE BELGIQUE - FRANCOPHONE","Donor",,
"CROIX ROUGE DE BELGIQUE / FLANDRES","Donor",,
"DANISH RED CROSS","Donor",,
"FINNISH RED CROSS","Donor",,
"INTERNATIONAL FEDERATION OF RC/RC","Donor",,
"NORWEGIAN RED CROSS","Donor",,
"saddleback valley community church","Donor",,
"Fulwood Initiative","Donor",,
