Area Sq Km,Perimeter ,Population,Distrnv1 ,Prov,Distrnv1 I,Newdist,District N,MatDeathRa,latitude,longitude
647.623,162.81,324653,2,NORD,18,1,BURERA,0,-1.458055,29.826562
532.875,116.482,299683,3,NORD,27,2,MUSANZE,0,-1.489729,29.606982
167.495,82.3421,204962,156,VILLE DE KIGALI,0,3,KICUKIRO,0,-2.0135675,30.1418255
997.626,192.741,265487,321,OUEST,0,4,KARONGI,0,-2.16774,29.3913865
1095.43,204.05,284852,340,SUD,0,5,NYAMAGABE,0,-2.3974425,29.4647345
962.875,257.437,331950,350,OUEST,0,6,RUSIZI,0,-2.5554275,29.1141455
1931.05,280.091,255104,365,EST,21,7,NYAGATARE,0,-1.301104,30.4047315
1718.49,247.432,240566,367,EST,7,8,GATSIBO,0,-1.664659,30.500419
533.983,127.858,268367,368,OUEST,6,9,NYABIHU,0,-1.638775,29.5098235
390.131,115.292,287579,369,OUEST,10,10,RUBAVU,0,-1.63813,29.3137765
707.394,146.686,322043,371,NORD,4,11,GAKENKE,0,-1.708977,29.782017
682.17,171.706,282249,374,OUEST,20,12,NGORORERO,0,-1.901582,29.536255
1162.62,184.865,269434,375,OUEST,29,13,RUTSIRO,0,-1.8910315,29.345338
134.586,106.313,236990,381,VILLE DE KIGALI,25,14,NYARUGENGE,0,-1.968554,30.03164
1190.28,191.429,229468,384,EST,19,15,KIREHE,0,-2.193129,30.678032
1296.67,204.818,266775,386,EST,23,16,BUGESERA,0,-2.230875,30.166395
871.801,163.033,232165,388,EST,15,17,NGOMA,0,-2.195081,30.4589585
1179.3,181.496,325032,390,OUEST,22,18,NYAMASHEKE,0,-2.355334,29.1518715
584.265,130.47,264295,398,SUD,1,19,HUYE,0,-2.529497,29.7138475
682.406,149.103,266424,401,SUD,9,20,GISAGARA,0,-2.605874,29.833788
685.172,135.579,209423,0,EST,0,21,RWAMAGANA,0,-1.9760635,30.351183
1813.21,196.929,220802,0,EST,0,22,KAYONZA,0,-1.8858975,30.628615
675.318,175.721,176456,0,SUD,0,23,NYANZA,0,-2.341205,29.7824905
629.738,163.684,210000,0,SUD,0,24,RUHANGO,0,-2.190907,29.775335
650.775,179.212,340369,0,SUD,0,25,MUHANGA,0,-1.9359975,29.714029
658.639,169.8,292772,0,SUD,0,26,KAMONYI,0,-2.024689,29.901712
833.477,199.853,362668,0,NORD,0,27,GICUMBI,0,-1.6164035,30.109383
431.241,110.16,318569,0,VILLE DE KIGALI,0,28,GASABO,0,-1.882428,30.132492
569.677,159.195,278310,0,NORD,0,29,RULINDO,0,-1.74822,29.9976025
1014.97,188.627,233815,0,SUD,0,30,NYARUGURU,0,-2.6840305,29.5366135
